# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	80061
#@/user_id	24769514-98c0-4d1f-9fa1-759af48b6715
a 	呵	c=1 d=1 t=45232
piao yi 	飘逸	c=1 d=1 t=77734
pie 	撇	c=4 d=0.1 t=72805
pin 	品	c=3 d=1.99005 t=62687
pin 	拼	c=1 d=1 t=78609
pin dao 	频道	c=5 d=4.60787 t=68449
pin duo duo 	拼多多	c=2 d=1 t=50783
pin fan 	频繁	c=6 d=1 t=74790
pin jie 	拼接	c=20 d=1 t=75015
pin lv 	频率	c=2 d=1 t=56514
pin lv yu 	频率与	c=1 d=1 t=21881
pin pai 	品牌	c=4 d=3.38416 t=61703
pin tu 	拼图	c=1 d=5.99659e-14 t=17463
pin xie 	拼写	c=1 d=1 t=20642
pin yin 	拼音	c=1 d=2.74411e-23 t=17463
ping 	屏	c=4 d=0.1 t=51569
ping 	瓶	c=1 d=1 t=76270
ping bi 	屏蔽	c=15 d=1.00002 t=70062
ping bi le 	屏蔽了	c=2 d=6.50595e-24 t=17463
ping ce 	评测	c=1 d=1 t=53058
ping chang 	平常	c=1 d=1 t=65378
ping fang 	平方	c=1 d=1 t=15099
ping fen 	平分	c=1 d=1 t=27385
ping fen 	评分	c=11 d=3.5983 t=66642
ping gu 	评估	c=18 d=1.24109 t=45783
ping guo 	苹果	c=2 d=1 t=46023
ping heng 	平衡	c=1 d=1 t=69146
ping heng shu 	平衡树	c=2 d=1.96079 t=66917
ping ji 	评级	c=1 d=1 t=35851
ping jia 	评价	c=1 d=3.42881e-26 t=17463
ping jun 	平均	c=1 d=1 t=18504
ping jun zhi 	平均值	c=1 d=1 t=17595
ping liang 	平凉	c=1 d=1 t=67103
ping mu 	屏幕	c=15 d=1.98511 t=61482
ping pu 	平铺	c=0 d=0.1 t=24414
ping pu shi 	平铺式	c=3 d=1 t=27129
ping ri 	平日	c=0 d=0.033454 t=17463
ping ri na ge 	平日哪个	c=1 d=0.1 t=50647
ping shi 	平时	c=1 d=1 t=42258
ping tai 	平台	c=8 d=1 t=78009
ping wen 	平稳	c=1 d=0.000542133 t=17463
ping zheng 	凭证	c=21 d=1.97531 t=27017
ping zheng shen he 	凭证审核	c=1 d=1 t=21704
ping zi 	瓶子	c=0 d=0.1 t=38001
ping zi de 	瓶子的	c=1 d=1 t=38002
po 	破	c=3 d=1 t=48669
po chan 	破产	c=1 d=2.72764e-11 t=17463
po che 	破车	c=1 d=1 t=17919
po huai 	破坏	c=1 d=1 t=53180
po jie 	破解	c=3 d=1 t=50473
po le 	破了	c=1 d=1 t=21694
po tong 	破通	c=1 d=1 t=61913
pu 	朴	c=1 d=1 t=49410
pu 	甫	c=1 d=1 t=31411
pu bian 	普遍	c=0 d=0.1 t=70837
pu bian li cai 	普遍理财	c=2 d=1 t=77276
pu cha 	普查	c=1 d=1 t=24585
pu chen 	铺陈	c=1 d=0.609571 t=17463
pu cheng 	蒲城	c=6 d=1 t=78474
pu di 	铺底	c=1 d=1 t=19996
pu dian lu 	浦电路	c=6 d=1 t=43356
pu dong 	浦东	c=11 d=0.1 t=66343
pu dong ta 	浦东它	c=1 d=1 t=66344
pu dong xin qu 	浦东新区	c=2 d=1 t=36225
pu shang 	铺上	c=0 d=1.08046e-29 t=17463
pu shang le 	铺上了	c=1 d=1.08587e-28 t=17463
pu tian 	莆田	c=1 d=9.80866e-09 t=17463
pu tong 	普通	c=22 d=3.0307 t=70109
pu tong ban 	普通版	c=1 d=1 t=78134
pu you tian 	朴有天	c=0 d=0.1 t=45995
pu you tian hong en 	朴有天洪恩	c=1 d=1 t=45996
pu yuan 	普元	c=5 d=1 t=36515
qi 	七	c=1 d=1 t=22995
qi 	其	c=22 d=1.00819 t=72671
qi 	器	c=26 d=1 t=78022
qi 	期	c=2 d=1.05979e-05 t=17463
qi 	气	c=0 d=0.1 t=15125
qi 	起	c=3 d=1 t=67526
qi bao 	七宝	c=1 d=1 t=43343
qi bie ming 	其别名	c=1 d=1 t=57970
qi bu 	岂不	c=1 d=1 t=27275
qi bu 	起步	c=8 d=1.00915 t=73884
qi bu lai 	起不来	c=1 d=0.1 t=47392
qi bu shi 	岂不是	c=6 d=1 t=79560
qi cai 	器材	c=1 d=1.07379e-14 t=17463
qi che 	汽车	c=3 d=1.55433 t=63891
qi chu lai 	气出来	c=1 d=1 t=15126
qi chuang 	起床	c=6 d=1 t=79572
qi chuang la 	起床啦	c=1 d=1 t=76524
qi chuang le 	起床了	c=1 d=1 t=44952
qi dang qian 	其当前	c=1 d=1 t=63598
qi dao 	起到	c=1 d=1 t=54913
qi dao le 	起到了	c=2 d=1.00001 t=54722
qi dian ban 	七点半	c=1 d=7.13977e-08 t=17463
qi dong 	启动	c=63 d=1.00007 t=79593
qi dong lei 	启动类	c=2 d=1 t=73626
qi dong pan 	启动盘	c=4 d=1.43753e-05 t=17463
qi dong xiang 	启动项	c=0 d=0.1 t=49437
qi fa 	启发	c=1 d=1 t=31861
qi fei qian 	起飞前	c=1 d=0.00017956 t=17463
qi fen 	七分	c=0 d=0.1 t=35896
qi fen tian 	七分甜	c=1 d=1 t=35897
qi fu 	欺负	c=2 d=1 t=30797
qi guai 	奇怪	c=1 d=1 t=18643
qi huan 	奇幻	c=1 d=1 t=60652
qi jian 	期间	c=2 d=1 t=63595
qi jian dian 	旗舰店	c=1 d=1 t=41388
qi lai 	起来	c=17 d=1.56553 t=76552
qi lai le 	起来了	c=1 d=1 t=46181
qi na 	起纳	c=0 d=0.1 t=62032
qi nei cun 	其内存	c=1 d=1 t=63387
qi pan 	棋盘	c=4 d=1 t=58261
qi pao 	气泡	c=0 d=0.1 t=36183
qi pao kuang 	气泡框	c=1 d=1 t=36184
qi qiang 	砌墙	c=1 d=1 t=57494
qi shi 	其实	c=13 d=1 t=72794
qi shi 	启始	c=5 d=1 t=65586
qi shi 	启示	c=1 d=1 t=18072
qi shi 	骑士	c=1 d=2.50665e-17 t=17463
qi shi hang 	启始行	c=1 d=1 t=32947
qi shi wei zhi 	起始位置	c=2 d=1.96079 t=65616
qi ta 	其他	c=128 d=1.65705 t=79290
qi ta de 	其他的	c=1 d=1 t=54624
qi ta ta ta ta tong 	其他踏踏他同	c=1 d=1 t=31778
qi tao 	乞讨	c=1 d=1 t=43045
qi tian da sheng 	齐天大圣	c=1 d=1 t=56460
qi wa wa 	奇瓦瓦	c=0 d=0.0010358 t=17463
qi wa wa er shou ge hao wan er huai te dao guo fei er de ren gong 	奇瓦瓦二首歌好玩儿怀特岛过菲尔的人工	c=1 d=0.0104099 t=17463
qi wang 	期望	c=7 d=1 t=76999
qi xi 	七喜	c=1 d=1 t=16811
qi xiao 	气消	c=1 d=0.00132016 t=17463
qi ye 	企业	c=2 d=1 t=75601
qi ye ban 	企业版	c=1 d=1 t=22533
qi yong 	启用	c=34 d=2.55141 t=48218
qi yue 	契约	c=2 d=1.94176 t=53162
qi zhong 	其中	c=8 d=1.00098 t=56635
qian 	前	c=34 d=0.100173 t=67390
qian 	欠	c=2 d=1.94176 t=76073
qian 	浅	c=1 d=1 t=45710
qian 	签	c=1 d=1 t=79719
qian 	钱	c=21 d=1 t=62035
qian bei 	前辈	c=1 d=5.09416e-07 t=17463
qian dao 	签到	c=8 d=1.73403 t=18917
qian duan 	前端	c=6 d=1.00497 t=76098
qian fa 	签发	c=15 d=2.5641 t=43021
qian fa ji gou 	签发机构	c=2 d=1.06081 t=42899
qian he tong 	签合同	c=1 d=1 t=73250
qian hou 	前后	c=3 d=1 t=69718
qian hou duan 	前后端	c=1 d=1 t=21115
qian hu 	迁户	c=1 d=1 t=41926
qian jing 	前景	c=0 d=0.1 t=18416
qian jing se 	前景色	c=1 d=1 t=18417
qian kao bei 	浅拷贝	c=18 d=4.90958 t=71504
qian le 	欠了	c=1 d=1 t=18771
qian le 	签了	c=2 d=1.95123 t=73272
qian liang ge 	前两个	c=1 d=1 t=20719
qian liang tian 	前两天	c=2 d=1 t=40221
qian men 	前门	c=1 d=1 t=45838
qian mi 	千米	c=1 d=1 t=69477
qian mian 	前面	c=7 d=1 t=65838
qian mian de 	前面的	c=2 d=1 t=38815
qian ming 	签名	c=6 d=3.31629 t=64302
qian nian 	千年	c=1 d=1 t=54048
qian qing 	前倾	c=1 d=1 t=21455
qian ru 	嵌入	c=1 d=1.68054e-19 t=17463
qian tai 	前台	c=10 d=1.01576 t=32117
qian tan 	前滩	c=1 d=1 t=45899
qian tao 	嵌套	c=10 d=1.24496 t=52190
qian ti 	前提	c=4 d=1 t=77069
qian tian 	前天	c=2 d=1.15259 t=23396
qian wan 	千万	c=1 d=1 t=68890
qian wang qi e qing wei er qing wo en wang qi e qing wei er qing wo en 	钱王企鹅情味儿请我恩王企鹅情味儿请我恩	c=1 d=9.67415e-23 t=17463
qian xing 	前行	c=0 d=5.32864e-08 t=17463
qian ye 	前夜	c=2 d=1.00052 t=30070
qian yi 	迁移	c=4 d=1.97045 t=43687
qian yi ci 	前一次	c=2 d=1.97531 t=38149
qian yi ge 	前一个	c=1 d=1 t=17852
qian yi tian 	前一天	c=1 d=1 t=20822
qian yue 	签约	c=74 d=6.76967 t=31024
qian yue hao 	签约号	c=1 d=1 t=29912
qian yue he tong 	签约合同	c=3 d=1.0001 t=31097
qian yue he tong guan li 	签约合同管理	c=1 d=1 t=28559
qian zhao 	千兆	c=7 d=1.90674 t=44562
qian zhi 	前值	c=1 d=1 t=70323
qian zhi 	前置	c=3 d=2.41336 t=70600
qian zhui 	前缀	c=5 d=1.99145 t=74658
qian zi 	签字	c=6 d=1 t=64221
qian zi ren 	签字人	c=6 d=2.60146 t=42941
qiang 	墙	c=3 d=1 t=41506
qiang 	强	c=1 d=0.1 t=78717
qiang 	抢	c=1 d=1 t=29843
qiang 	枪	c=5 d=1 t=43223
qiang a 	强啊	c=1 d=1 t=23964
qiang cai 	抢菜	c=1 d=1 t=67450
qiang chen 	强辰	c=2 d=1 t=39910
qiang da 	强大	c=3 d=1 t=50470
qiang dao huo 	墙到货	c=1 d=1 t=16201
qiang hong bao 	抢红包	c=2 d=2.20106e-09 t=17463
qiang jiao 	墙脚	c=1 d=1 t=28146
qiang lie 	强烈	c=1 d=1 t=74145
qiang pi fu 	枪皮肤	c=1 d=0.00369786 t=17463
qiang po zheng 	强迫症	c=1 d=1 t=46524
qiang qiu 	强求	c=1 d=1 t=27533
qiang shen jian ti 	强身健体	c=1 d=2.72106e-12 t=17463
qiang xie 	枪械	c=1 d=1 t=18876
qiang yi xia 	强一下	c=1 d=1 t=78718
qiang zhi 	强制	c=20 d=1 t=73483
qiang zhi dai li 	强制代理	c=1 d=1 t=70142
qiao 	巧	c=1 d=1 t=38986
qiao 	桥	c=0 d=0.1 t=38984
qiao chu 	敲出	c=0 d=0.1 t=20058
qiao chu lai 	敲出来	c=1 d=1 t=20059
qiao de me 	桥的么	c=1 d=1 t=38985
qiao jie 	桥接	c=19 d=3.51147 t=64202
qiao jie mo shi 	桥接模式	c=3 d=1.58718 t=61888
qiao ke li 	巧克力	c=5 d=4.37933 t=62720
qiao liang 	桥梁	c=1 d=1 t=64134
qie 	且	c=22 d=1.04313 t=72395
qie 	切	c=4 d=2.24772 t=26042
qie chu 	切除	c=1 d=1 t=50440
qie ge 	切割	c=0 d=0.1 t=25696
qie ge ji 	切割机	c=1 d=1 t=17601
qie ge sa 	切割撒	c=1 d=1 t=25697
qie huan 	切换	c=17 d=1.96691 t=67827
qie huan dao 	切换到	c=3 d=1.2865 t=65471
qie huan guo qu 	切换过去	c=1 d=1 t=37809
qie huan hou 	切换后	c=1 d=1.80301e-23 t=17463
qie mian 	切面	c=6 d=1.53699 t=70714
qie qiang 	切墙	c=1 d=1 t=57483
qie ru 	切入	c=1 d=1 t=70511
qie ru dian 	切入点	c=1 d=1 t=70715
qin 	亲	c=6 d=0.1 t=38649
qin ai 	亲爱	c=2 d=1 t=48924
qin ai da 	亲爱大	c=1 d=1.27034e-21 t=17463
qin ai de 	亲爱的	c=1 d=1 t=47741
qin jiu ai 	亲旧爱	c=1 d=1 t=38650
qin kuai 	勤快	c=1 d=1 t=28793
qin ni 	亲昵	c=1 d=1 t=74951
qin qi 	亲戚	c=1 d=1 t=71731
qin qin 	亲亲	c=4 d=1 t=78361
qin ru xing 	侵入性	c=1 d=1 t=53198
qin shen 	亲身	c=1 d=1 t=46380
qin wo 	亲我	c=1 d=1 t=27484
qin yi xia 	亲一下	c=1 d=1.85634e-13 t=17463
qing 	氢	c=2 d=1 t=48356
qing 	请	c=11 d=1.93707 t=70254
qing 	轻	c=1 d=1 t=39806
qing 	青	c=0 d=0.1 t=21567
qing an 	请按	c=0 d=0.1 t=72987
qing chi fan 	请吃饭	c=2 d=1 t=37477
qing chu 	清楚	c=1 d=1 t=42032
qing chu 	清除	c=9 d=1 t=70757
qing da huo 	请大伙	c=1 d=1 t=39522
qing dan 	清单	c=7 d=3.01011 t=76825
qing dao 	青岛	c=1 d=1.71893e-20 t=17463
qing dong 	倾动	c=4 d=2.24163 t=72919
qing guang yan 	青光眼	c=1 d=1 t=23112
qing hua 	情话	c=1 d=1 t=50829
qing hua 	清华	c=9 d=1 t=66679
qing jia 	请假	c=6 d=1.00001 t=78696
qing jia mi qian 	请加密前	c=1 d=1 t=67391
qing jiao 	请教	c=2 d=8.8426e-07 t=17463
qing kao lv 	请考虑	c=1 d=1 t=64844
qing ke 	请客	c=1 d=0.0430669 t=17463
qing kong 	清空	c=11 d=3.27087 t=65235
qing kuang 	情况	c=36 d=1.23937 t=79802
qing kuang xia 	情况下	c=6 d=1 t=68931
qing le yi dian 	青了一点	c=1 d=1 t=21568
qing li 	清理	c=7 d=1 t=64896
qing liang 	轻量	c=2 d=1.9802 t=77836
qing liang ji 	轻量级	c=1 d=1 t=54428
qing lie chu 	请列出	c=1 d=1 t=45413
qing long 	青龙	c=2 d=1.98511 t=47521
qing lv 	情侣	c=6 d=1 t=70904
qing ni 	请你	c=9 d=1.00017 t=37642
qing ni men 	请你们	c=1 d=1 t=27391
qing ping 	清屏	c=1 d=1 t=61443
qing qiu 	请求	c=79 d=1.07701 t=74788
qing qiu quan 	请求权	c=0 d=0.1 t=80040
qing que ren 	请确认	c=10 d=4.57329 t=34646
qing rang 	请让	c=0 d=0.1 t=40712
qing rang wo 	请让我	c=1 d=1 t=40713
qing se 	青色	c=1 d=9.50066e-16 t=17463
qing shao hou 	请稍候	c=6 d=1.41406e-22 t=17463
qing shi yong 	请使用	c=1 d=1 t=70232
qing song 	轻松	c=2 d=1 t=69053
qing suan 	清算	c=1 d=1 t=35663
qing tian 	晴天	c=1 d=1 t=19093
qing tian xie 	请填写	c=3 d=1.99185 t=45430
qing ting 	蜻蜓	c=1 d=1 t=60627
qing wei er 	情味儿	c=1 d=5.71804e-23 t=17463
qing wei er de qi wei er qie wan er 	情味儿的气味而且玩儿	c=1 d=9.34141e-23 t=17463
qing wei er qing wei er qing wo en qing wei er qing wo en wang qi e qing wei er qing wo en qing wei er qing wo en qing wei er 	情味儿情味儿请我恩情味儿请我恩王企鹅情味儿请我恩情味儿请我恩情味儿	c=1 d=9.77137e-23 t=17463
qing wei er qing wo 	情味儿请我	c=3 d=0.1 t=41290
qing wei er qing wo en 	情味儿请我恩	c=1 d=9.48259e-23 t=17463
qing wei er qing wo en qing wei er 	情味儿请我恩情味儿	c=2 d=1.93982e-22 t=17463
qing wei er qing wo en qing wei er qing wo en qing wei er qing wo en qing wei er 	情味儿请我恩情味儿请我恩情味儿请我恩情味儿	c=1 d=9.72264e-23 t=17463
qing wei er qing wo er 	情味儿请我二	c=1 d=1 t=41291
qing wen 	清瘟	c=1 d=1 t=77552
qing wo 	请我	c=3 d=1 t=26245
qing wo er qian wan er qian wan 	请我二千万二千万	c=2 d=1.87301e-22 t=17463
qing wo qing wei er qing wo en qing wei er qing wo en qing wei er qing wo en qing wei er qing wo en qing wei er qing wo en qing wei er qing wo qing wei er 	请我情味儿请我恩情味儿请我恩情味儿请我恩情味儿请我恩情味儿请我恩情味儿请我情味儿	c=1 d=9.6259e-23 t=17463
qing xi 	清晰	c=6 d=1.83527 t=69804
qing xing 	情形	c=4 d=1 t=54924
qing xuan ze 	请选择	c=3 d=1.1979 t=32031
qing yang 	清扬	c=2 d=3.99718e-14 t=17463
qing yi 	轻易	c=0 d=1.48975e-14 t=17463
qing yi dian 	轻易点	c=1 d=1.49721e-13 t=17463
qing zhu 	庆祝	c=1 d=1 t=27845
qiong 	穷	c=5 d=1.71534 t=40561
qiu 	求	c=2 d=1 t=69073
qiu 	球	c=0 d=1.03081e-05 t=17463
qiu ai zhen 	邱隘镇	c=1 d=1 t=42697
qiu he 	求和	c=1 d=1 t=51549
qiu le 	求了	c=0 d=0.1 t=47745
qiu ni 	求你	c=1 d=1.55081e-15 t=17463
qiu qing 	求情	c=2 d=1 t=72256
qiu sheng 	求生	c=2 d=1 t=53082
qiu sheng zhi lu 	求生之路	c=3 d=1.83583 t=74607
qiu tian 	秋天	c=1 d=1 t=23755
qiu zhe 	求着	c=1 d=1 t=19127
qu 	区	c=22 d=1 t=63614
qu 	去	c=183 d=1.73036 t=79917
qu 	取	c=7 d=1 t=40442
qu 	曲	c=2 d=2.39494e-11 t=17463
qu ba 	去吧	c=14 d=2.55389 t=45625
qu ba ni 	去吧你	c=1 d=1 t=16168
qu ban 	去办	c=1 d=0.1 t=43283
qu ban li 	去办理	c=1 d=1 t=43284
qu bie 	区别	c=24 d=1.00159 t=79094
qu bu 	去不	c=6 d=1.43258 t=45819
qu bu liao 	去不了	c=3 d=1 t=27300
qu bu qu 	去不去	c=1 d=1 t=27240
qu cha 	去查	c=0 d=0.1 t=18930
qu cha cha 	去查查	c=1 d=1 t=18931
qu chao shi 	去超市	c=1 d=1.60742e-25 t=17463
qu chi 	去吃	c=3 d=1 t=35410
qu chong 	去重	c=1 d=1 t=69064
qu chu 	去除	c=3 d=1.99501 t=73666
qu chu 	取出	c=5 d=1.59745 t=66436
qu chu lai 	取出来	c=1 d=1 t=25728
qu da 	去打	c=0 d=1.03081e-05 t=17463
qu da qiu 	去打球	c=1 d=0.000103597 t=17463
qu dai 	取代	c=1 d=1 t=58810
qu dao 	去到	c=2 d=1 t=32669
qu dao 	渠道	c=3 d=1.97045 t=45670
qu de 	取得	c=78 d=1.9802 t=70953
qu dian li 	去店里	c=3 d=1 t=65379
qu diao 	去掉	c=19 d=1.31664 t=78015
qu dong 	驱动	c=14 d=1.85003 t=72607
qu dong qi 	驱动器	c=3 d=2.92168 t=17692
qu dou yin 	去痘印	c=1 d=2.39057e-18 t=17463
qu er 	取而	c=1 d=1 t=19331
qu fen 	区分	c=8 d=1.86071 t=72267
qu gai gai 	去改改	c=1 d=1 t=18848
qu gan 	去干	c=0 d=0.1 t=27528
qu gan ba 	去干吧	c=1 d=1 t=27529
qu gan ma 	去干嘛	c=2 d=1 t=26992
qu gei wo 	去给我	c=1 d=1 t=45967
qu gen 	去跟	c=2 d=1 t=43449
qu gen ni 	去跟你	c=1 d=1 t=17457
qu guo 	去过	c=1 d=1 t=50790
qu jian 	区间	c=1 d=1 t=66767
qu kan 	去看	c=4 d=1 t=47438
qu kan fang 	去看房	c=1 d=1 t=40275
qu kan kan 	去看看	c=10 d=1.0382 t=41052
qu le 	去了	c=14 d=1 t=75072
qu le 	取了	c=3 d=1 t=78232
qu ma 	去吗	c=1 d=3.79406e-11 t=17463
qu mai 	去买	c=0 d=1.62357e-26 t=17463
qu mai dian 	去卖点	c=1 d=5.48514e-24 t=17463
qu mai shui 	去买水	c=1 d=1.63171e-25 t=17463
qu mian 	曲面	c=0 d=1.09246e-12 t=17463
qu mian ping 	去面屏	c=1 d=1.03918e-11 t=17463
qu mian ping 	曲面屏	c=1 d=1.09794e-11 t=17463
qu mian shi 	去面试	c=1 d=1 t=27171
qu na 	去哪	c=19 d=1 t=79935
qu na li 	去哪里	c=1 d=1 t=27187
qu nan jing dong lu 	曲南京东路	c=1 d=1.21949e-11 t=17463
qu ne 	去呢	c=1 d=0.1 t=19759
qu ni 	去你	c=4 d=1 t=43360
qu ni de 	去你的	c=1 d=1 t=47498
qu ni fang zi 	去你房子	c=2 d=1 t=27409
qu ni men 	去你们	c=1 d=1 t=41520
qu nian 	去年	c=3 d=1 t=44862
qu pa shan 	去爬山	c=1 d=1 t=27193
qu pao 	去跑	c=1 d=3.04004e-22 t=17463
qu pao bu 	去跑步	c=1 d=1.55964e-23 t=17463
qu piao 	取票	c=2 d=1.67368 t=19258
qu si 	去死	c=0 d=0.1 t=39665
qu si le 	去死了	c=1 d=1 t=39666
qu su zhou 	去苏州	c=1 d=1 t=27194
qu wa 	去挖	c=1 d=1 t=28145
qu wan 	去玩	c=2 d=1 t=75566
qu wan piao 	取完票	c=1 d=1 t=19180
qu wang ba 	去网吧	c=2 d=0.0045219 t=17463
qu wen 	去问	c=0 d=0.1 t=23245
qu xi zao 	去洗澡	c=1 d=1 t=77298
qu xian 	区县	c=5 d=1.95859 t=34718
qu xiao 	取消	c=10 d=1 t=30282
qu yi 	取一	c=1 d=0.270268 t=17463
qu yi ci 	取一次	c=1 d=0.162026 t=17463
qu yi ge 	去一个	c=2 d=1 t=24384
qu yi ge 	取一个	c=1 d=0.000383949 t=17463
qu yi xia 	去一下	c=1 d=1 t=17511
qu yi xia 	取一下	c=1 d=1 t=21638
qu yi yuan 	区医院	c=1 d=6.4015e-18 t=17463
qu yu 	区域	c=10 d=4.69153 t=32072
qu yu 	取余	c=1 d=1.27233e-10 t=17463
qu yue hui 	去约会	c=1 d=1.50058e-10 t=17463
qu zhao 	去找	c=1 d=1 t=25042
qu zhao ba 	去找吧	c=1 d=1 t=21836
qu zhe li 	去这里	c=1 d=1 t=22790
qu zheng 	取整	c=1 d=1 t=38241
qu zhi 	取值	c=12 d=1.94649 t=38712
qu zuo 	去做	c=1 d=1 t=79128
quan 	全	c=10 d=1 t=78905
quan 	权	c=3 d=1.01156 t=45661
quan 	泉	c=1 d=1 t=21409
quan 	犬	c=2 d=1 t=43214
quan bao 	全包	c=0 d=0.1 t=21426
quan bao wei 	全包围	c=1 d=1 t=21427
quan biao 	全表	c=1 d=1 t=18480
quan biao 	权标	c=1 d=1 t=18479
quan bu 	全部	c=14 d=1 t=75594
quan bu ku 	全部库	c=3 d=2.30827 t=65234
quan bu shu ju 	全部数据	c=1 d=1 t=70764
quan cheng 	全称	c=5 d=1.69748 t=42905
quan dou 	全都	c=0 d=0.1 t=54365
quan dou shi 	全都是	c=1 d=1 t=76382
quan e 	全额	c=0 d=9.48259e-24 t=17463
quan fen 	全分	c=0 d=2.70933e-21 t=17463
quan fen hang 	全分行	c=1 d=2.72291e-20 t=17463
quan gong neng 	全功能	c=1 d=1 t=18995
quan jiao 	全角	c=2 d=1 t=34953
quan ju 	全局	c=13 d=1.00692 t=74683
quan ju pei zhi lei 	全局配置类	c=1 d=1 t=73555
quan kuan 	全款	c=1 d=1 t=46537
quan lei 	全类	c=0 d=0.1 t=50404
quan lei ming 	全类名	c=1 d=1 t=50405
quan lu jing 	全路径	c=3 d=1 t=74442
quan mian 	全面	c=1 d=7.07475e-18 t=17463
quan pan 	全盘	c=1 d=1 t=22688
quan qiu 	全球	c=1 d=1 t=36438
quan quan 	拳拳	c=0 d=4.29178e-21 t=17463
quan shen 	全身	c=1 d=9.12658e-14 t=17463
quan tou 	拳头	c=1 d=8.01674e-18 t=17463
quan wei 	全为	c=2 d=1.98511 t=45047
quan wei 	权威	c=1 d=1 t=61516
quan xi 	全系	c=0 d=0.1 t=60677
quan xi na 	全系那	c=8 d=1.44264 t=71906
quan xian 	权限	c=114 d=1.98794 t=76498
quan xian jian 	权限键	c=1 d=1 t=67315
quan xian xin xi 	权限信息	c=1 d=1 t=71905
quan xin 	全新	c=3 d=1.57407 t=61159
quan yi 	权益	c=1 d=1 t=79725
quan zhong 	权重	c=3 d=2.68338 t=66846
quan zi dong 	全自动	c=3 d=1.96561 t=18878
que 	却	c=2 d=1 t=59700
que 	缺	c=3 d=1 t=59690
que bu 	却不	c=0 d=0.1 t=48169
que bu gei 	却不给	c=1 d=1 t=48170
que bu zhi dao 	却不知道	c=1 d=1 t=54196
que de 	缺的	c=1 d=1 t=26049
que dian 	缺点	c=15 d=1.91851 t=71111
que ding 	确定	c=5 d=2.05749 t=63529
que fa 	缺乏	c=2 d=1.60957 t=63531
que le 	缺了	c=3 d=1.94176 t=19015
que ren 	确认	c=47 d=1.66034 t=75753
que ren zi liao 	确认资料	c=1 d=1 t=42859
que shao 	缺少	c=1 d=1 t=42408
que shi 	却是	c=1 d=1 t=50819
que shi 	确实	c=11 d=1 t=78511
que xian 	缺陷	c=1 d=1 t=67806
que yi 	缺一	c=0 d=2.64064e-13 t=17463
que yi ge 	却一个	c=1 d=1 t=48325
que yi ge ban 	缺一个伴	c=1 d=2.65388e-12 t=17463
que zhen 	确诊	c=1 d=1 t=47917
qun 	群	c=1 d=1 t=53076
qun dao 	群岛	c=1 d=1 t=31361
qun li 	群里	c=2 d=1.956 t=26896
ran 	然	c=1 d=1 t=77087
ran er 	然而	c=1 d=1 t=58812
ran fa 	染发	c=0 d=0.1 t=58336
ran ge 	染革	c=1 d=1 t=56489
ran hou 	然后	c=35 d=2.01786 t=71305
ran hou ne 	然后呢	c=1 d=1 t=19075
ran hou zhi xing 	然后执行	c=1 d=3.11054e-27 t=17463
ran huo 	燃火	c=3 d=1.15882 t=71014
ran jia 	然加	c=1 d=1 t=75528
ran wo 	然我	c=2 d=1 t=45467
rang 	让	c=25 d=1.00056 t=75986
rang an 	让俺	c=1 d=1 t=49978
rang cheng xu 	让程序	c=1 d=1 t=56509
rang ni 	让你	c=17 d=1 t=77364
rang ni chi 	让你吃	c=1 d=1 t=23704
rang ni guo qi 	让你过期	c=1 d=1 t=72847
rang ta 	让她	c=2 d=0.756408 t=17463
rang wang xing 	让王兴	c=1 d=1 t=74950
rang wo 	让我	c=66 d=1.01428 t=48880
rang wo kan kan 	让我看看	c=1 d=1 t=27901
rang wo lai 	让我来	c=1 d=7.6494e-25 t=17463
rang wo men 	让我们	c=1 d=1 t=39744
rang wo zhi dao 	让我知道	c=1 d=4.08816e-07 t=17463
rang yuan ben 	让原本	c=1 d=1 t=57957
rang zi ji 	让自己	c=1 d=3.88878e-07 t=17463
rang zi lei 	让子类	c=3 d=1.00003 t=55803
rao 	绕	c=1 d=1 t=41990
rao guo 	绕过	c=1 d=1 t=70132
re 	热	c=1 d=0.1 t=45117
re feng 	热风	c=1 d=1 t=28641
re le 	热了	c=1 d=0.1 t=45113
re nao 	热闹	c=1 d=1 t=18578
re qing 	热情	c=0 d=0.1 t=17463
re shui 	热水	c=1 d=2.04203e-17 t=17463
re si 	热死	c=1 d=1 t=26250
re tu 	热土	c=0 d=6.77749e-14 t=17463
re tu rang ni 	热土让你	c=9 d=1 t=72073
re you 	热油	c=1 d=3.28474e-21 t=17463
ren 	人	c=105 d=1.00954 t=79404
ren 	刃	c=1 d=1 t=21516
ren ba 	人把	c=1 d=2.35618e-24 t=17463
ren bu liao 	忍不了	c=1 d=4.41722e-06 t=17463
ren de 	人的	c=1 d=1 t=55674
ren ding 	认定	c=1 d=1 t=35165
ren duo 	人多	c=1 d=1 t=39203
ren gong 	人工	c=4 d=1 t=77829
ren gong pan duan 	人工判断	c=2 d=1.00001 t=45492
ren guang 	人广	c=1 d=1 t=41391
ren he 	任何	c=19 d=1 t=77853
ren hou zai 	人后再	c=1 d=1 t=59632
ren hui 	人会	c=1 d=1 t=55672
ren ji 	人机	c=3 d=1 t=57249
ren jia 	人家	c=17 d=1.00044 t=77905
ren ke 	认可	c=0 d=0.1 t=28113
ren kou 	人口	c=1 d=1 t=24584
