# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	15081
#@/user_id	24769514-98c0-4d1f-9fa1-759af48b6715
a 	啊	c=134 d=2.32908 t=15081
na jiu xing 	那就行	c=1 d=1.83756e-11 t=15081
na jiu yao 	那就要	c=1 d=2.64928e-21 t=15081
na jue dui 	那绝对	c=1 d=2.57763e-22 t=15081
na jue le 	哪决了	c=1 d=9.05762e-13 t=15081
na lai de 	拿来的	c=0 d=6.3279e-30 t=15081
na li 	哪里	c=4 d=9.33122e-09 t=15081
na me 	那么	c=4 d=0.00120654 t=15081
na me pang 	那么胖	c=1 d=4.02237e-22 t=15081
na ni 	那你	c=59 d=0.0658047 t=15081
na ni kan 	那你看	c=2 d=1.45648e-12 t=15081
na ni men 	那你们	c=2 d=0.000163287 t=15081
na ni xian 	那你先	c=1 d=0.00110269 t=15081
na shi 	那是	c=1 d=1.68547e-24 t=15081
na shou si 	那寿司	c=1 d=5.52878e-29 t=15081
na suan 	哪算	c=0 d=1.28289e-20 t=15081
na suan le 	哪算了	c=1 d=1.28932e-19 t=15081
na tai 	那台	c=0 d=0.1 t=14358
na ting hao de 	那挺好的	c=2 d=1.44248e-16 t=15081
na wo 	那我	c=20 d=0.00330812 t=15081
na wo kan 	那我看	c=1 d=1.02601e-08 t=15081
na xie 	拿些	c=3 d=3.30831e-07 t=15081
na xie wen jian 	拿些文件	c=1 d=8.13097e-08 t=15081
na yao 	那要	c=0 d=1.4059e-09 t=15081
na yao shi 	那要是	c=1 d=1.41295e-08 t=15081
na yi 	那一	c=0 d=0.1 t=14762
na yi hang 	那一行	c=1 d=1 t=14763
na yi zhan 	哪一站	c=1 d=1.07138e-17 t=15081
na you 	哪有	c=4 d=4.31857e-05 t=15081
na zhe 	那这	c=0 d=1.07138e-18 t=15081
na zhe shi 	那这是	c=1 d=1.07675e-17 t=15081
na zhong 	那种	c=3 d=2.26618e-18 t=15081
na zou 	拿走	c=1 d=1.11894e-28 t=15081
nai cha 	奶茶	c=0 d=3.22913e-27 t=15081
nai nai 	奶奶	c=1 d=4.18795e-26 t=15081
nan 	男	c=1 d=5.72182e-21 t=15081
nan 	难	c=1 d=0.00680566 t=15081
nan da 	男大	c=1 d=9.45971e-24 t=15081
nan dao 	难道	c=5 d=0.0655462 t=15081
nan de 	男的	c=1 d=1.3821e-13 t=15081
nan guo 	难过	c=3 d=1.45243e-19 t=15081
nan ji 	难记	c=1 d=1.95052e-07 t=15081
nan jing dong lu 	南京东路	c=0 d=1.21341e-12 t=15081
nan ni 	男你	c=2 d=7.26722e-13 t=15081
nan shi 	男士	c=2 d=3.76678e-14 t=15081
nan shou 	难受	c=1 d=7.44128e-24 t=15081
nao 	脑	c=0 d=0.00243554 t=15081
nao tu 	脑图	c=1 d=3.18874e-25 t=15081
nao zhong 	闹钟	c=1 d=6.61465e-21 t=15081
ne 	呢	c=123 d=4.48038 t=15081
ne ge 	呢个	c=0 d=3.87598e-28 t=15081
ne me 	呢么	c=1 d=4.83897e-20 t=15081
ne wo 	呢我	c=1 d=0.0804596 t=15081
nei 	内	c=2 d=4.09438e-15 t=15081
nei bu 	内部	c=1 d=1.58187e-13 t=15081
nei cun 	内存	c=12 d=0.418952 t=15081
nei cun tiao 	内存条	c=2 d=2.54317e-28 t=15081
nei da 	内搭	c=1 d=8.94586e-14 t=15081
nei de 	内的	c=1 d=2.67317e-09 t=15081
nei he 	内核	c=3 d=5.09697e-09 t=15081
nei lian 	内联	c=1 d=1.42028e-10 t=15081
nei rong 	内容	c=18 d=0.0753534 t=15081
nei wang 	内网	c=1 d=0.0407622 t=15081
nei xiang 	内向	c=0 d=2.28655e-25 t=15081
nei xiang 	内镶	c=2 d=0.895834 t=15081
neng 	能	c=17 d=0.326966 t=15081
neng bu 	能不	c=0 d=1.1042e-20 t=15081
neng bu neng 	能不能	c=5 d=0.0298706 t=15081
neng bu neng rang 	能不能让	c=1 d=1.10973e-19 t=15081
neng dang 	能当	c=0 d=1.28577e-17 t=15081
neng dang ni 	能当你	c=1 d=1.29222e-16 t=15081
neng gou 	能够	c=1 d=1.86083e-12 t=15081
neng kan 	能看	c=2 d=7.76101e-10 t=15081
neng kong zhi zhu 	能控制住	c=1 d=1 t=13211
neng lai 	能来	c=1 d=6.11357e-06 t=15081
neng qu 	能去	c=1 d=1.034e-11 t=15081
neng rang 	能让	c=1 d=1.12908e-20 t=15081
neng tui 	能退	c=1 d=1.84006e-27 t=15081
neng yong 	能用	c=0 d=2.64154e-17 t=15081
ni 	你	c=32 d=0.194918 t=15081
ni ba 	你吧	c=1 d=2.46086e-06 t=15081
ni ba 	你把	c=4 d=0.0254765 t=15081
ni ba 	你爸	c=1 d=6.15049e-18 t=15081
ni bang wo 	你帮我	c=3 d=0.111917 t=15081
ni bao zhe 	你抱着	c=1 d=7.17434e-06 t=15081
ni bi ye 	你毕业	c=2 d=7.98818e-21 t=15081
ni bie 	你别	c=0 d=0.1 t=13041
ni bie luan shuo 	你别乱说	c=1 d=1 t=13042
ni bu 	你不	c=1 d=1.93578e-06 t=15081
ni bu dei 	你不得	c=1 d=1.23792e-11 t=15081
ni bu gei 	你不给	c=1 d=4.8515e-21 t=15081
ni bu hui 	你不会	c=3 d=0.00687745 t=15081
ni bu hui shi zai 	你不会是在	c=1 d=1.25186e-25 t=15081
ni bu piao liang 	你不漂亮	c=1 d=1 t=14537
ni bu shi 	你不是	c=5 d=8.43952e-05 t=15081
ni bu shuo 	你不说	c=1 d=1 t=15047
ni bu xi huan 	你不喜欢	c=1 d=1.57451e-17 t=15081
ni bu xiang 	你不想	c=1 d=4.10084e-14 t=15081
ni bu yao 	你不要	c=1 d=1.11304e-15 t=15081
ni bu yao gei wo 	你不要给我	c=1 d=6.33672e-16 t=15081
ni cai 	你猜	c=1 d=2.8908e-18 t=15081
ni chi wan 	你吃完	c=1 d=1.00553e-06 t=15081
ni chuan de 	你穿的	c=1 d=3.04532e-13 t=15081
ni da ban 	你打扮	c=1 d=3.1386e-15 t=15081
ni dai 	你带	c=1 d=1.78537e-25 t=15081
ni dao shi 	你倒是	c=1 d=1.22836e-08 t=15081
ni dao shi hou 	你到时候	c=3 d=0.000120363 t=15081
ni de 	你的	c=16 d=0.00141569 t=15081
ni de hao 	你的好	c=1 d=6.42702e-06 t=15081
ni dian 	你点	c=1 d=0.00215492 t=15081
ni dian nao 	你电脑	c=1 d=1.16524e-05 t=15081
ni dong 	你懂	c=1 d=3.53575e-05 t=15081
ni dong bu 	你东部	c=1 d=3.51812e-05 t=15081
ni dong de 	你懂的	c=1 d=7.97811e-20 t=15081
ni dou 	你都	c=3 d=0.0668703 t=15081
ni dui xiang 	你对象	c=1 d=0.000197455 t=15081
ni duo 	你多	c=0 d=3.39007e-11 t=15081
ni duo gao 	你多高	c=2 d=1.32607e-23 t=15081
ni duo jiu 	你多久	c=1 d=0.000107287 t=15081
ni duo wei dian 	你多味点	c=1 d=3.40706e-10 t=15081
ni fan 	逆反	c=1 d=6.23707e-06 t=15081
ni fang xin 	你放心	c=3 d=0.429562 t=15081
ni fen hong se 	你粉红色	c=1 d=8.99071e-14 t=15081
ni fu ji chu lai 	你腹肌出来	c=1 d=6.4137e-11 t=15081
ni fu ze 	你负责	c=1 d=0.0432828 t=15081
ni gan jin 	你赶紧	c=3 d=2.77869e-12 t=15081
ni ge 	你个	c=1 d=0.0259911 t=15081
ni gei wo 	你给我	c=6 d=0.00153323 t=15081
ni gong bu 	你公布	c=1 d=1.07748e-25 t=15081
ni hao 	你好	c=5 d=0.00633247 t=15081
ni he 	你喝	c=0 d=3.37374e-13 t=15081
ni he guo ma 	你喝过吗	c=1 d=3.39065e-12 t=15081
ni huan 	你还	c=5 d=0.00313778 t=15081
ni huan me 	你还么	c=1 d=0.00132678 t=15081
ni huan shi 	你还时	c=1 d=1.79249e-13 t=15081
ni huan xu yao 	你还需要	c=1 d=2.56347e-16 t=15081
ni huan yao 	你还要	c=1 d=3.14887e-24 t=15081
ni huan you 	你还有	c=1 d=1.61938e-24 t=15081
ni huan zai 	你还在	c=1 d=0.00047843 t=15081
ni hui 	你会	c=0 d=8.19009e-06 t=15081
ni hui bu hui 	你会不会	c=2 d=7.16664e-21 t=15081
ni hui qu 	你会去	c=1 d=8.23115e-05 t=15081
ni huo de 	你获得	c=1 d=1.59858e-19 t=15081
ni ji hao 	你几号	c=1 d=3.8594e-06 t=15081
ni ji xu 	你继续	c=2 d=1.97531 t=14384
ni ji zhe 	你急着	c=1 d=0.000147748 t=15081
ni jia 	你家	c=1 d=1.19307e-18 t=15081
ni jiao 	泥脚	c=1 d=9.45489e-18 t=15081
ni jie wo 	你借我	c=1 d=0.000236397 t=15081
ni jin tian 	你今天	c=7 d=4.10796e-05 t=15081
ni jin wan 	你今晚	c=2 d=9.76337e-12 t=15081
ni jin xia wu 	你今下午	c=1 d=2.79716e-13 t=15081
ni jiu 	你就	c=7 d=0.0290133 t=15081
ni jiu ke yi 	你就可以	c=2 d=3.4059e-06 t=15081
ni jiu shi 	你就是	c=1 d=1.56965e-10 t=15081
ni jiu yao yong 	你就要用	c=1 d=7.26644e-09 t=15081
ni ju ran 	你居然	c=4 d=8.19149e-07 t=15081
ni kan 	你看	c=4 d=2.32894e-07 t=15081
ni kan ge 	你看个	c=1 d=1.51514e-06 t=15081
ni kan kan 	你看看	c=3 d=0.0115102 t=15081
ni kan wo 	你看我	c=1 d=0.00292342 t=15081
ni ke yi 	你可以	c=10 d=1.04386e-05 t=15081
ni la ji 	你垃圾	c=2 d=1.0032e-16 t=15081
ni le 	你了	c=1 d=2.59549e-15 t=15081
ni lei 	你累	c=1 d=5.38494e-13 t=15081
ni li hai 	你厉害	c=1 d=1 t=14376
ni ma 	你妈	c=1 d=6.27474e-18 t=15081
ni mai 	你买	c=1 d=2.04732e-18 t=15081
ni mai le 	你买了	c=1 d=4.2756e-05 t=15081
ni mai piao 	你买票	c=1 d=0.0173355 t=15081
ni mao si 	你貌似	c=1 d=3.57372e-13 t=15081
ni me 	你么	c=1 d=1.9478e-20 t=15081
ni mei 	你妹	c=1 d=8.53305e-17 t=15081
ni mei 	你没	c=2 d=0.0017953 t=15081
ni mei jian tou fa 	你没剪头发	c=1 d=8.95043e-20 t=15081
ni mei shuo 	你没说	c=1 d=2.7005e-11 t=15081
ni mei you 	你没有	c=1 d=6.49603e-14 t=15081
ni mei you kan 	你没有看	c=1 d=3.83415e-17 t=15081
ni mei zai shang hai 	你没在上海	c=1 d=0.018043 t=15081
ni men 	你们	c=15 d=0.225017 t=15081
ni ming tian 	你明天	c=1 d=0.000153778 t=15081
ni na 	你那	c=3 d=0.0547488 t=15081
ni neng 	你能	c=3 d=0.000262568 t=15081
ni peng you 	你朋友	c=2 d=1.69948e-15 t=15081
ni pi 	你皮	c=3 d=0.0162445 t=15081
ni piao 	你漂	c=1 d=1.57532e-23 t=15081
ni piao le 	你漂了	c=1 d=6.96586e-12 t=15081
ni qi lai le 	你起来了	c=1 d=1.18591e-06 t=15081
ni qu 	你去	c=3 d=6.75769e-08 t=15081
ni qu guo 	你去过	c=1 d=2.60443e-26 t=15081
ni qu na 	你去哪	c=1 d=1.01404e-17 t=15081
ni que ding 	你确定	c=1 d=1 t=14472
ni rang 	你让	c=1 d=0.031117 t=15081
ni rang wo 	你让我	c=1 d=6.64781e-21 t=15081
ni ren 	你人	c=1 d=0.955997 t=15081
ni sha a 	你傻啊	c=1 d=9.64425e-16 t=15081
ni shi 	你是	c=11 d=4.30975e-06 t=15081
ni shi bu shi 	你是不是	c=6 d=0.00109115 t=15081
ni shi shi 	你试试	c=4 d=4.38384e-05 t=15081
ni shi zai 	你实在	c=1 d=5.79428e-22 t=15081
ni shi zhu 	你是猪	c=3 d=9.73951e-14 t=15081
ni shou ji 	你手机	c=1 d=2.44642e-25 t=15081
ni shou shi 	你收拾	c=1 d=9.32711e-05 t=15081
ni shui 	你睡	c=3 d=2.91687e-06 t=15081
ni shuo 	你说	c=2 d=1.06367e-20 t=15081
ni shuo de 	你说的	c=2 d=1.73922e-11 t=15081
ni shuo ne 	你说呢	c=1 d=7.94373e-28 t=15081
ni shuo sha 	你说啥	c=2 d=6.79619e-16 t=15081
ni song 	你送	c=1 d=0.000127168 t=15081
ni song wo 	你送我	c=1 d=1.73054e-11 t=15081
ni tian xie 	你填写	c=1 d=3.17122e-19 t=15081
ni tong zhi 	你通知	c=1 d=2.99631e-28 t=15081
ni tou su 	你投诉	c=1 d=1 t=13062
ni tuo dan le 	你脱单了	c=1 d=5.90832e-16 t=15081
ni wen wen 	你问问	c=1 d=2.19614e-20 t=15081
ni xi huan 	你喜欢	c=1 d=9.52363e-15 t=15081
ni xia ci 	你下次	c=1 d=0.33454 t=15081
ni xia ge 	你下个	c=1 d=2.28577e-20 t=15081
ni xia shuo 	你瞎说	c=1 d=5.25199e-13 t=15081
ni xia wu 	你下午	c=1 d=1.36222e-19 t=15081
ni xia yi ge 	你下一个	c=1 d=4.89692e-13 t=15081
ni xia zai 	你下载	c=1 d=3.85402e-19 t=15081
ni xian 	你先	c=3 d=0.447088 t=15081
ni xian kan kan 	你先看看	c=1 d=2.45109e-18 t=15081
ni xian mai 	你先买	c=1 d=7.34321e-15 t=15081
ni xian shui ba 	你先睡吧	c=1 d=2.15156e-14 t=15081
ni xian zai 	你现在	c=5 d=0.831179 t=15081
ni xiang 	你想	c=1 d=4.46161e-06 t=15081
ni xiang xiang 	你想想	c=1 d=3.98235e-22 t=15081
ni xie 	你写	c=4 d=9.58323e-17 t=15081
ni xie cuo le 	你写错了	c=1 d=3.3842e-19 t=15081
ni xu yao 	你需要	c=2 d=1.27466e-15 t=15081
ni yao 	你要	c=14 d=0.0420973 t=15081
ni yao bu 	你要不	c=1 d=2.06431e-27 t=15081
ni yao bu a yao 	你要不阿要	c=1 d=8.02356e-28 t=15081
ni yao bu yao 	你要不要	c=4 d=4.74496e-06 t=15081
ni yao chi sha 	你要吃啥	c=1 d=0.0415857 t=15081
ni yao dui wo 	你要对我	c=1 d=9.35922e-16 t=15081
ni yao gen wo 	你要跟我	c=1 d=8.81718e-20 t=15081
ni yao mai 	你要买	c=1 d=0.000130387 t=15081
ni yao qing 	你邀请	c=1 d=5.84854e-14 t=15081
ni yao shi 	你要是	c=3 d=2.19699e-05 t=15081
ni yao yong 	你要用	c=1 d=1 t=14360
ni ye 	你也	c=4 d=0.937067 t=15081
ni ye ke yi 	你也可以	c=0 d=0.00135009 t=15081
ni ye ke yi kan kan 	你也可以看看	c=1 d=0.0135686 t=15081
ni ye lai 	你也来	c=1 d=1.06622e-19 t=15081
ni ye qu 	你也去	c=1 d=0.000103597 t=15081
ni ye yao 	你也要	c=1 d=4.84819e-13 t=15081
ni yi 	你一	c=0 d=2.01718e-21 t=15081
ni yi ge 	你一个	c=1 d=1.52429e-18 t=15081
ni yi hui 	你一会	c=1 d=2.02729e-20 t=15081
ni yi qian 	你以前	c=1 d=9.4565e-20 t=15081
ni yi tian 	你一天	c=2 d=3.42248e-15 t=15081
ni yong 	你用	c=3 d=0.000885135 t=15081
ni you 	你又	c=2 d=1.19648e-05 t=15081
ni you 	你有	c=3 d=5.87557e-13 t=15081
ni you mei you 	你有没有	c=2 d=4.70468e-12 t=15081
ni you sha 	你有啥	c=1 d=5.01048e-18 t=15081
ni you yi jian 	你有意见	c=1 d=1.26642e-14 t=15081
ni yu wen 	你语文	c=1 d=3.71703e-05 t=15081
ni yuan dan 	你元旦	c=1 d=9.24059e-13 t=15081
ni zai 	你在	c=4 d=1.70085e-10 t=15081
ni zai na 	你在哪	c=1 d=9.82537e-29 t=15081
ni zai shuo 	你再说	c=2 d=3.796e-17 t=15081
ni zen me 	你怎么	c=5 d=0.436049 t=15081
ni zhan wo 	你占我	c=1 d=5.88286e-24 t=15081
ni zhao zhao 	你找找	c=1 d=1 t=14337
ni zhe 	你这	c=8 d=0.0208584 t=15081
ni zhe me 	你这么	c=3 d=0.000115643 t=15081
ni zhe shi 	你这是	c=6 d=0.000154549 t=15081
ni zhi dao 	你知道	c=2 d=5.66489e-21 t=15081
ni zhi jie 	你直接	c=1 d=1.15561e-25 t=15081
ni zhi qian 	你之前	c=1 d=8.68886e-24 t=15081
ni zhou mo 	你周末	c=1 d=5.88386e-26 t=15081
ni zhun bei 	你准备	c=1 d=8.97207e-19 t=15081
ni zi ji 	你自己	c=3 d=9.11232e-15 t=15081
ni zou bu 	你走步	c=1 d=1.74764e-09 t=15081
ni zu le 	你租了	c=1 d=1.56341e-22 t=15081
ni zui jin 	你最近	c=1 d=0.00159641 t=15081
ni zuo 	你做	c=1 d=1.33154e-19 t=15081
ni zuo shang che 	你做上车	c=1 d=1.04763e-18 t=15081
ni zuo tian 	你昨天	c=3 d=5.21319e-14 t=15081
nian 	年	c=9 d=0.0011207 t=15081
nian de 	年的	c=1 d=0.694197 t=15081
nian hui 	年会	c=2 d=5.70537e-09 t=15081
nian hui de 	年会的	c=1 d=2.48601e-08 t=15081
nian jia 	年假	c=4 d=0.000993431 t=15081
nian ling 	年龄	c=1 d=2.47741e-26 t=15081
nian shu ju 	年数据	c=1 d=5.63472e-17 t=15081
nin 	您	c=1 d=1 t=14380
ning meng 	柠檬	c=2 d=0.000402893 t=15081
niu 	牛	c=1 d=1.2328e-21 t=15081
niu kou 	纽扣	c=1 d=3.36091e-26 t=15081
niu zai shan 	牛仔衫	c=1 d=8.76872e-14 t=15081
nong 	弄	c=5 d=0.0333531 t=15081
nong de 	弄得	c=1 d=4.09805e-06 t=15081
nong ge 	弄个	c=4 d=8.23283e-07 t=15081
nong hao 	弄好	c=1 d=6.12939e-07 t=15081
nong le 	弄了	c=2 d=1.59061e-19 t=15081
nong yi ge 	弄一个	c=1 d=2.72199e-16 t=15081
nong yi xia 	弄一下	c=1 d=1.24884e-26 t=15081
nu li 	努力	c=1 d=7.29393e-24 t=15081
nuan chuang 	暖床	c=4 d=5.9216e-13 t=15081
nuan he 	暖和	c=3 d=0.00126209 t=15081
nv er hong 	女儿红	c=1 d=2.64019e-10 t=15081
nv peng you 	女朋友	c=2 d=3.19156e-06 t=15081
nv ren 	女人	c=1 d=3.99198e-21 t=15081
nv sheng 	女声	c=1 d=2.83259e-14 t=15081
o 	哦	c=14 d=0.325668 t=15081
o hou hou 	哦吼吼	c=1 d=3.41171e-26 t=15081
o o 	哦哦	c=1 d=0.000162473 t=15081
ou ke 	欧克	c=5 d=5.83052e-07 t=15081
pa 	怕	c=0 d=4.35146e-07 t=15081
pa le 	怕了	c=1 d=1.8692e-06 t=15081
pa ni 	怕你	c=1 d=1 t=13193
pa re 	怕热	c=0 d=1.03365e-08 t=15081
pa re miu mao 	怕热谬耄	c=1 d=1.03883e-07 t=15081
pai hang bang 	排行榜	c=1 d=0.0102549 t=15081
pai pian 	排片	c=1 d=3.95979e-14 t=15081
pai xu 	排序	c=2 d=0.0321913 t=15081
pai zi 	牌子	c=1 d=1.1987e-15 t=15081
pan 	盘	c=11 d=0.000256269 t=15081
pan duan 	判断	c=23 d=0.412714 t=15081
pan fu 	盘符	c=2 d=1.98511 t=13417
pan kong 	判空	c=1 d=1.73443e-08 t=15081
pang 	胖	c=3 d=4.59503e-22 t=15081
pang bian 	旁边	c=2 d=2.39686e-11 t=15081
pang da 	庞大	c=0 d=1.13763e-18 t=15081
pang da te 	庞大特	c=2 d=5.05825e-12 t=15081
pang zi 	胖子	c=2 d=0.0290271 t=15081
pao 	跑	c=1 d=2.5626e-12 t=15081
pao bu 	跑步	c=1 d=1.77925e-14 t=15081
pao bu ji 	跑步机	c=1 d=2.08939e-22 t=15081
pao wan 	跑完	c=0 d=1.53668e-26 t=15081
pao wan bu 	跑完不	c=1 d=1.54439e-25 t=15081
pei 	陪	c=3 d=0.26457 t=15081
pei ni 	陪你	c=4 d=0.798516 t=15081
pei ni guo 	陪你过	c=0 d=1.19636e-22 t=15081
pei ni kan 	陪你看	c=1 d=3.1696e-13 t=15081
pei wo 	陪我	c=3 d=9.18825e-05 t=15081
pei zhe 	陪着	c=1 d=6.14421e-06 t=15081
pei zhi 	配置	c=68 d=1.6479 t=15081
peng you 	朋友	c=3 d=0.00338048 t=15081
pi 	屁	c=0 d=2.66346e-26 t=15081
pi 	皮	c=1 d=2.57588e-14 t=15081
pi fan ying 	屁反应	c=1 d=2.67681e-25 t=15081
pi fu 	皮肤	c=8 d=1.28581 t=15081
pi gu 	屁股	c=4 d=3.41414e-05 t=15081
pi jiu 	啤酒	c=3 d=1.35596e-21 t=15081
pi ka qiu 	皮卡丘	c=1 d=1.38116e-05 t=15081
pi pei 	匹配	c=3 d=1.04259 t=14083
pian 	片	c=2 d=1.99515e-08 t=15081
pian ni 	骗你	c=0 d=1.5154e-09 t=15081
pian shang 	偏上	c=1 d=3.92306e-22 t=15081
pian yi 	便宜	c=3 d=3.67323e-12 t=15081
pian yi de 	便宜的	c=1 d=8.07503e-15 t=15081
pian yi huo 	便宜货	c=1 d=2.66346e-25 t=15081
piao 	票	c=3 d=1.62556e-10 t=15081
piao 	飘	c=1 d=4.99179e-21 t=15081
piao guo 	飘过	c=2 d=5.61216e-21 t=15081
piao hui 	票汇	c=7 d=1.60795e-16 t=15081
piao le 	漂了	c=0 d=6.93112e-13 t=15081
pin jie 	拼接	c=2 d=4.49482e-05 t=15081
pin tu 	拼图	c=1 d=5.99659e-14 t=15081
pin yin 	拼音	c=1 d=2.74411e-23 t=15081
ping 	屏	c=1 d=0.000399619 t=15081
ping 	瓶	c=0 d=1.60742e-26 t=15081
ping bi le 	屏蔽了	c=2 d=6.50595e-24 t=15081
ping chang 	平常	c=0 d=1.74129e-26 t=15081
ping jia 	评价	c=1 d=3.42881e-26 t=15081
ping mu 	屏幕	c=4 d=0.00117675 t=15081
ping ri 	平日	c=0 d=0.1 t=14862
ping ri na ge 	平日哪个	c=1 d=1 t=14863
ping tai 	平台	c=2 d=4.47173e-16 t=15081
ping wen 	平稳	c=1 d=0.000542133 t=15081
ping zheng 	凭证	c=6 d=4.47252e-10 t=15081
po chan 	破产	c=1 d=2.72764e-11 t=15081
po jie 	破解	c=1 d=5.2846e-27 t=15081
pu chen 	铺陈	c=1 d=1 t=14982
pu cheng 	蒲城	c=1 d=1 t=14983
pu dong 	浦东	c=2 d=1.98737e-09 t=15081
pu dong xin qu 	浦东新区	c=1 d=1.94112e-09 t=15081
pu shang 	铺上	c=0 d=1.08046e-29 t=15081
pu shang le 	铺上了	c=1 d=1.08587e-28 t=15081
pu tian 	莆田	c=1 d=9.80866e-09 t=15081
pu tong 	普通	c=2 d=0.0152222 t=15081
pu yuan 	普元	c=3 d=3.86071e-10 t=15081
qi 	器	c=5 d=7.66811e-12 t=15081
qi 	期	c=2 d=1.05979e-05 t=15081
qi 	起	c=1 d=7.32565e-16 t=15081
qi cai 	器材	c=1 d=1.07379e-14 t=15081
qi che 	汽车	c=1 d=0.000287295 t=15081
qi chuang 	起床	c=3 d=1.29753e-20 t=15081
qi dian ban 	七点半	c=1 d=7.13977e-08 t=15081
qi dong 	启动	c=11 d=0.0615981 t=15081
qi dong pan 	启动盘	c=4 d=1.43753e-05 t=15081
qi fei qian 	起飞前	c=1 d=0.00017956 t=15081
qi fu 	欺负	c=1 d=8.81418e-16 t=15081
qi jian 	期间	c=0 d=0.00194482 t=15081
qi lai 	起来	c=2 d=1.15954e-05 t=15081
qi lai le 	起来了	c=0 d=1.18e-07 t=15081
qi pan 	棋盘	c=2 d=3.49237e-28 t=15081
qi shi 	其实	c=5 d=0.00118326 t=15081
qi shi 	骑士	c=1 d=2.50665e-17 t=15081
qi ta 	其他	c=3 d=5.54516e-05 t=15081
qi wa wa 	奇瓦瓦	c=0 d=0.0010358 t=15081
qi wa wa er shou ge hao wan er huai te dao guo fei er de ren gong 	奇瓦瓦二首歌好玩儿怀特岛过菲尔的人工	c=1 d=0.0104099 t=15081
qi xiao 	气消	c=1 d=0.00132016 t=15081
qi yong 	启用	c=3 d=2.67513 t=14868
qian 	前	c=8 d=0.00139818 t=15081
qian 	钱	c=9 d=0.339826 t=15081
qian bei 	前辈	c=1 d=5.09416e-07 t=15081
qian duan 	前端	c=1 d=1.92181e-09 t=15081
qian ru 	嵌入	c=1 d=1.68054e-19 t=15081
qian tai 	前台	c=2 d=6.69273e-12 t=15081
qian ti 	前提	c=0 d=1.71981e-27 t=15081
qian wang qi e qing wei er qing wo en wang qi e qing wei er qing wo en 	钱王企鹅情味儿请我恩王企鹅情味儿请我恩	c=1 d=9.67415e-23 t=15081
qian xing 	前行	c=0 d=5.32864e-08 t=15081
qian yi 	迁移	c=1 d=5.66296e-17 t=15081
qiang 	强	c=1 d=7.63095e-26 t=15081
qiang 	枪	c=1 d=0.000367942 t=15081
qiang chen 	强辰	c=1 d=2.66029e-11 t=15081
qiang hong bao 	抢红包	c=2 d=2.20106e-09 t=15081
qiang pi fu 	枪皮肤	c=1 d=0.00369786 t=15081
qiang shen jian ti 	强身健体	c=1 d=2.72106e-12 t=15081
qiao jie 	桥接	c=1 d=3.58419e-18 t=15081
qie 	且	c=1 d=4.39056e-23 t=15081
qie 	切	c=1 d=9.35125e-06 t=15081
qie huan 	切换	c=6 d=0.559898 t=15081
qie huan hou 	切换后	c=1 d=1.80301e-23 t=15081
qie mian 	切面	c=2 d=2.3022e-17 t=15081
qin ai 	亲爱	c=1 d=5.98213e-15 t=15081
qin ai da 	亲爱大	c=1 d=1.27034e-21 t=15081
qin yi xia 	亲一下	c=1 d=1.85634e-13 t=15081
qing 	请	c=2 d=6.28349e-05 t=15081
qing chi fan 	请吃饭	c=1 d=3.4371e-25 t=15081
qing chu 	清楚	c=0 d=1.93875e-25 t=15081
qing chu 	清除	c=2 d=0.00479587 t=15081
qing dao 	青岛	c=1 d=1.71893e-20 t=15081
qing jia 	请假	c=1 d=0.000973123 t=15081
qing jiao 	请教	c=2 d=8.8426e-07 t=15081
qing ke 	请客	c=1 d=0.0430669 t=15081
qing kuang 	情况	c=8 d=0.00458553 t=15081
qing kuang xia 	情况下	c=2 d=2.16344e-12 t=15081
qing li 	清理	c=2 d=0.0728029 t=15081
qing ni 	请你	c=2 d=7.375e-08 t=15081
qing qiu 	请求	c=3 d=2.90737 t=14904
qing se 	青色	c=1 d=9.50066e-16 t=15081
qing shao hou 	请稍候	c=6 d=1.41406e-22 t=15081
qing wei er 	情味儿	c=1 d=5.71804e-23 t=15081
qing wei er de qi wei er qie wan er 	情味儿的气味而且玩儿	c=1 d=9.34141e-23 t=15081
qing wei er qing wei er qing wo en qing wei er qing wo en wang qi e qing wei er qing wo en qing wei er qing wo en qing wei er 	情味儿情味儿请我恩情味儿请我恩王企鹅情味儿请我恩情味儿请我恩情味儿	c=1 d=9.77137e-23 t=15081
qing wei er qing wo 	情味儿请我	c=2 d=1.45048e-21 t=15081
qing wei er qing wo en 	情味儿请我恩	c=1 d=9.48259e-23 t=15081
qing wei er qing wo en qing wei er 	情味儿请我恩情味儿	c=2 d=1.93982e-22 t=15081
qing wei er qing wo en qing wei er qing wo en qing wei er qing wo en qing wei er 	情味儿请我恩情味儿请我恩情味儿请我恩情味儿	c=1 d=9.72264e-23 t=15081
qing wo 	请我	c=2 d=2.09736e-08 t=15081
qing wo er qian wan er qian wan 	请我二千万二千万	c=2 d=1.87301e-22 t=15081
qing wo qing wei er qing wo en qing wei er qing wo en qing wei er qing wo en qing wei er qing wo en qing wei er qing wo en qing wei er qing wo qing wei er 	请我情味儿请我恩情味儿请我恩情味儿请我恩情味儿请我恩情味儿请我恩情味儿请我情味儿	c=1 d=9.6259e-23 t=15081
qing xi 	清晰	c=1 d=0.00027603 t=15081
qing yang 	清扬	c=2 d=3.99718e-14 t=15081
